,0
0,"Christian Szegedy,Wei Liu,Yangqing Jia,Pierre Sermanet,Scott Reed,Dragomir Anguelov,Dumitru Erhan,Vincent Vanhoucke,Andrew Rabinovich,"
1,"Jen-Hao Rick Chang,Yu-Chiang Frank Wang,"
2,"Yunchao Gong,Marcin Pawlowski,Fei Yang,Louis Brandy,Lubomir Bourdev,Rob Fergus,"
3,"Alina Kuznetsova,Sung Ju Hwang,Bodo Rosenhahn,Leonid Sigal,"
4,"Fumin Shen,Chunhua Shen,Wei Liu,Heng Tao Shen,"
5,"Mihir Jain,Jan C. van Gemert,Cees G. M. Snoek,"
6,"Rahaf Aljundi,Remi Emonet,Damien Muselet,Marc Sebban,"
7,"Wei-Sheng Lai,Jian-Jiun Ding,Yen-Yu Lin,Yung-Yu Chuang,"
8,"Nikhil Naik,Achuta Kadambi,Christoph Rhemann,Shahram Izadi,Ramesh Raskar,Sing Bing Kang,"
9,"Simone Frintrop,Thomas Werner,German Martin Garcia,"
10,"Patrick Snape,Yannis Panagakis,Stefanos Zafeiriou,"
11,"Min-Gyu Park,Kuk-Jin Yoon,"
12,"Yao Qin,Huchuan Lu,Yiqun Xu,He Wang,"
13,"Jonas Wulff,Michael J. Black,"
14,"Carlo Ciliberto,Lorenzo Rosasco,Silvia Villa,"
15,"Zhiwu Huang,Ruiping Wang,Shiguang Shan,Xilin Chen,"
16,"Tianzhu Zhang,Si Liu,Changsheng Xu,Shuicheng Yan,Bernard Ghanem,Narendra Ahuja,Ming-Hsuan Yang,"
17,"HyeokHyen Kwon,Yu-Wing Tai,Stephen Lin,"
18,"Feng Lu,Imari Sato,Yoichi Sato,"
19,"Ran Tao,Arnold W.M. Smeulders,Shih-Fu Chang,"
20,"Mostafa Abdelrahman,Aly Farag,David Swanson,Moumen T. El-Melegy,"
21,"Christopher Zach,Adrian Penate-Sanchez,Minh-Tri Pham,"
22,"Zhengzhong Lan,Ming Lin,Xuanchong Li,Alex G. Hauptmann,Bhiksha Raj,"
23,"Dongping Li,Kaiming He,Jian Sun,Kun Zhou,"
24,"Shaoxin Li,Junliang Xing,Zhiheng Niu,Shiguang Shan,Shuicheng Yan,"
25,"Marko Ristin,Juergen Gall,Matthieu Guillaumin,Luc Van Gool,"
26,"Yunsheng Jiang,Jinwen Ma,"
27,"Yuting Zhang,Kihyuk Sohn,Ruben Villegas,Gang Pan,Honglak Lee,"
28,"Spyridon Leonardos,Roberto Tron,Kostas Daniilidis,"
29,"Benjamin Allain,Jean-Sebastien Franco,Edmond Boyer,"
30,"Chun-Guang Li,Rene Vidal,"
31,"Yin Li,Zhefan Ye,James M. Rehg,"
32,"Sebastian Kaltwang,Sinisa Todorovic,Maja Pantic,"
