,0
0,"Abhijit Kundu,Yin Li,James M. Rehg,"
1,"Wenjie Luo,Bin Yang,Raquel Urtasun,"
2,"Bharat Singh,Larry S. Davis,"
3,"Han Hu,Jiayuan Gu,Zheng Zhang,Jifeng Dai,Yichen Wei,"
4,"Yuming Shen,Li Liu,Fumin Shen,Ling Shao,"
5,"Danna Gurari,Qing Li,Abigale J. Stangl,Anhong Guo,Chi Lin,Kristen Grauman,Jiebo Luo,Jeffrey P. Bigham,"
6,"Deepak Babu Sam,Neeraj N. Sajjan,R. Venkatesh Babu,Mukundhan Srinivasan,"
7,"Jonghyun Choi,Jayant Krishnamurthy,Aniruddha Kembhavi,Ali Farhadi,"
8,"David Novotny,Samuel Albanie,Diane Larlus,Andrea Vedaldi,"
9,"Matthijs Douze,Alexandre Sablayrolles,Hervé Jégou,"
10,"Juzheng Li,Hang Su,Jun Zhu,Siyu Wang,Bo Zhang,"
11,"Kamran Ghasedi Dizaji,Feng Zheng,Najmeh Sadoughi,Yanhua Yang,Cheng Deng,Heng Huang,"
12,"Peter Anderson,Qi Wu,Damien Teney,Jake Bruce,Mark Johnson,Niko Sünderhauf,Ian Reid,Stephen Gould,Anton van den Hengel,"
13,"Maoke Yang,Kun Yu,Chi Zhang,Zhiwei Li,Kuiyuan Yang,"
14,"Pritish Mohapatra,Michal Rolínek,C.V. Jawahar,Vladimir Kolmogorov,M. Pawan Kumar,"
15,"Kwonjoon Lee,Weijian Xu,Fan Fan,Zhuowen Tu,"
16,"Amir R. Zamir,Alexander Sax,William Shen,Leonidas J. Guibas,Jitendra Malik,Silvio Savarese,"
17,"Kuniaki Saito,Kohei Watanabe,Yoshitaka Ushiku,Tatsuya Harada,"
18,"Zhirong Wu,Yuanjun Xiong,Stella X. Yu,Dahua Lin,"
19,"Yang Liu,Zhaowen Wang,Hailin Jin,Ian Wassell,"
20,"Swami Sankaranarayanan,Yogesh Balaji,Arpit Jain,Ser Nam Lim,Rama Chellappa,"
21,"Alhussein Fawzi,Seyed-Mohsen Moosavi-Dezfooli,Pascal Frossard,Stefano Soatto,"
22,"Massimiliano Mancini,Lorenzo Porzi,Samuel Rota Bulò,Barbara Caputo,Elisa Ricci,"
23,"Dawei Yang,Jia Deng,"
24,"Yanzhao Zhou,Yi Zhu,Qixiang Ye,Qiang Qiu,Jianbin Jiao,"
25,"Weichen Zhang,Wanli Ouyang,Wen Li,Dong Xu,"
26,"Shuqin Xie,Zitian Chen,Chao Xu,Cewu Lu,"
27,"Oisin Mac Aodha,Shihan Su,Yuxin Chen,Pietro Perona,Yisong Yue,"
28,"Felix Järemo Lawin,Martin Danelljan,Fahad Shahbaz Khan,Per-Erik Forssén,Michael Felsberg,"
29,"Zequn Jie,Pengfei Wang,Yonggen Ling,Bo Zhao,Yunchao Wei,Jiashi Feng,Wei Liu,"
30,"Shuran Song,Andy Zeng,Angel X. Chang,Manolis Savva,Silvio Savarese,Thomas Funkhouser,"
31,"Luwei Yang,Feitong Tan,Ao Li,Zhaopeng Cui,Yasutaka Furukawa,Ping Tan,"
32,"Guillermo Gallego,Henri Rebecq,Davide Scaramuzza,"
33,"Timur Bagautdinov,Chenglei Wu,Jason Saragih,Pascal Fua,Yaser Sheikh,"
34,"Maxim Tatarchenko,Jaesik Park,Vladlen Koltun,Qian-Yi Zhou,"
35,"Despoina Paschalidou,Osman Ulusoy,Carolin Schmitt,Luc Van Gool,Andreas Geiger,"
36,"Hiroharu Kato,Yoshitaka Ushiku,Tatsuya Harada,"
37,"Dan Xu,Wei Wang,Hao Tang,Hong Liu,Nicu Sebe,Elisa Ricci,"
38,"Yang Yang,Shi Jin,Ruiyang Liu,Sing Bing Kang,Jingyi Yu,"
39,"Anh Tuấn Trần,Tal Hassner,Iacopo Masi,Eran Paz,Yuval Nirkin,Gérard Medioni,"
40,"Viktor Larsson,Magnus Oskarsson,Kalle Astrom,Alge Wallis,Zuzana Kukelova,Tomas Pajdla,"
41,"Silvia Zuffi,Angjoo Kanazawa,Michael J. Black,"
42,"Ruijia Xu,Ziliang Chen,Wangmeng Zuo,Junjie Yan,Liang Lin,"
43,"Gui-Song Xia,Xiang Bai,Jian Ding,Zhen Zhu,Serge Belongie,Jiebo Luo,Mihai Datcu,Marcello Pelillo,Liangpei Zhang,"
44,"Martin Engilberge,Louis Chevallier,Patrick Pérez,Matthieu Cord,"
45,"Weimin Tan,Bo Yan,Bahetiyaer Bare,"
46,"Rodney LaLonde,Dong Zhang,Mubarak Shah,"
47,"Liang-Chieh Chen,Alexander Hermans,George Papandreou,Florian Schroff,Peng Wang,Hartwig Adam,"
48,"Kun He,Fatih Cakir,Sarah Adel Bargal,Stan Sclaroff,"
49,"Vivek Sharma,Ali Diba,Davy Neven,Michael S. Brown,Luc Van Gool,Rainer Stiefelhagen,"
50,"Kan Chen,Jiyang Gao,Ram Nevatia,"
51,"Kiana Ehsani,Hessam Bagherinezhad,Joseph Redmon,Roozbeh Mottaghi,Ali Farhadi,"
52,"Xiangyun Zhao,Shuang Liang,Yichen Wei,"
53,"Changmao Cheng,Yanwei Fu,Yu-Gang Jiang,Wei Liu,Wenlian Lu,Jianfeng Feng,Xiangyang Xue,"
54,"Qi Cai,Yingwei Pan,Ting Yao,Chenggang Yan,Tao Mei,"
55,"Daniel Gordon,Aniruddha Kembhavi,Mohammad Rastegari,Joseph Redmon,Dieter Fox,Ali Farhadi,"
56,"Jinxian Liu,Bingbing Ni,Yichao Yan,Peng Zhou,Shuo Cheng,Jianguo Hu,"
57,"Yin Cui,Yang Song,Chen Sun,Andrew Howard,Serge Belongie,"
58,"Ilija Radosavovic,Piotr Dollár,Ross Girshick,Georgia Gkioxari,Kaiming He,"
59,"Arun Balajee Vasudevan,Dengxin Dai,Luc Van Gool,"
