,0,1
0,Locally Uniform Comparison Image Descriptor.,"Andrew Ziegler,Eric M. Christiansen,David J. Kriegman,Serge J. Belongie,"
1,Learning from Distributions via Support Measure Machines.,"Krikamol Muandet,Kenji Fukumizu,Francesco Dinuzzo,Bernhard Schölkopf,"
2,Finding Exemplars from Pairwise Dissimilarities via Simultaneous Sparse Recovery.,"Ehsan Elhamifar,Guillermo Sapiro,René Vidal,"
3,Feature Clustering for Accelerating Parallel Coordinate Descent.,"Chad Scherrer,Ambuj Tewari,Mahantesh Halappanavar,David Haglin,"
4,Multi-scale Hyper-time Hardware Emulation of Human Motor Nervous System Based on Spiking Neurons using FPGA.,"Chuanxin Minos Niu,Sirish K. Nandyala,Won Joon Sohn,Terence D. Sanger,"
5,Active Learning of Model Evidence Using Bayesian Quadrature.,"Michael A. Osborne,David Duvenaud,Roman Garnett,Carl E. Rasmussen,Stephen J. Roberts,Zoubin Ghahramani,"
6,Coupling Nonparametric Mixtures via Latent Dirichlet Processes.,"Dahua Lin,John W. Fisher III,"
7,Nonparametric Max-Margin Matrix Factorization for Collaborative Prediction.,"Minjie Xu,Jun Zhu,Bo Zhang,"
8,Bayesian Hierarchical Reinforcement Learning.,"Feng Cao,Soumya Ray,"
9,Dynamic Pruning of Factor Graphs for Maximum Marginal Prediction.,"Christoph H. Lampert,"
10,Local Supervised Learning through Space Partitioning.,"Joseph Wang,Venkatesh Saligrama,"
11,A Generative Model for Parts-based Object Segmentation.,"S. M. Ali Eslami,Christopher K. I. Williams,"
12,Super-Bit Locality-Sensitive Hashing.,"Jianqiu Ji,Jianmin Li,Shuicheng Yan,Bo Zhang,Qi Tian,"
13,The Bethe Partition Function of Log-supermodular Graphical Models.,"Nicholas Ruozzi,"
14,Random Utility Theory for Social Choice.,"Hossein Azari Soufiani,David C. Parkes,Lirong Xia,"
15,Putting Bayes to sleep.,"Wouter M. Koolen,Dmitry Adamskiy,Manfred K. Warmuth,"
16,A new metric on the manifold of kernel matrices with application to matrix geometric means.,"Suvrit Sra,"
17,Mandatory Leaf Node Prediction in Hierarchical Multilabel Classification.,"Wei Bi,James T. Kwok,"
18,Smooth-projected Neighborhood Pursuit for High-dimensional Nonparanormal Graph Estimation.,"Tuo Zhao,Kathryn Roeder,Han Liu,"
19,Semiparametric Principal Component Analysis.,"Fang Han,Han Liu,"
20,Coding efficiency and detectability of rate fluctuations with non-Poisson neuronal firing.,"Shinsuke Koyama,"
21,The representer theorem for Hilbert spaces: a necessary and sufficient condition.,"Francesco Dinuzzo,Bernhard Schölkopf,"
22,"""On the (Non-)existence of Convex, Calibrated Surrogate Losses for Ranking"".","Clément Calauzènes,Nicolas Usunier,Patrick Gallinari,"
23,Exploration in Model-based Reinforcement Learning by Empirically Estimating Learning Progress.,"Manuel Lopes,Tobias Lang,Marc Toussaint,Pierre-Yves Oudeyer,"
24,Supervised Learning with Similarity Functions.,"Purushottam Kar,Prateek Jain,"
25,Cocktail Party Processing via Structured Prediction.,"Yuxuan Wang,DeLiang Wang,"
26,Robustness and risk-sensitivity in Markov decision processes.,"Takayuki Osogami,"
27,Dynamical And-Or Graph Learning for Object Shape Modeling and Detection.,"Xiaolong Wang,Liang Lin,"
28,Adaptive Stratified Sampling for Monte-Carlo integration of Differentiable functions.,"Alexandra Carpentier,Rémi Munos,"
29,Distributed Non-Stochastic Experts.,"Varun Kanade,Zhenming Liu,Bozidar Radunovic,"
30,An Integer Optimization Approach to Associative Classification.,"Allison Chang,Dimitris Bertsimas,Cynthia Rudin,"
31,Learning Image Descriptors with the Boosting-Trick.,"Tomasz Trzcinski,C. Mario Christoudias,Vincent Lepetit,Pascal Fua,"
32,Fast Resampling Weighted v-Statistics.,"Chunxiao Zhou,Jiseong Park,Yun Fu,"
33,Multi-task Vector Field Learning.,"Binbin Lin,Sen Yang,Chiyuan Zhang,Jieping Ye,Xiaofei He,"
34,Memorability of Image Regions.,"Aditya Khosla,Jianxiong Xiao,Antonio Torralba,Aude Oliva,"
35,Nonparametric Bayesian Inverse Reinforcement Learning for Multiple Reward Functions.,"Jaedeug Choi,Kee-Eung Kim,"
36,Automatic Feature Induction for Stagewise Collaborative Filtering.,"Joonseok Lee,Mingxuan Sun,Seungyeon Kim,Guy Lebanon,"
37,Selective Labeling via Error Bound Minimization.,"Quanquan Gu,Tong Zhang,Chris H. Q. Ding,Jiawei Han,"
38,Volume Regularization for Binary Classification.,"Koby Crammer,Tal Wagner,"
39,Image Denoising and Inpainting with Deep Neural Networks.,"Junyuan Xie,Linli Xu,Enhong Chen,"
40,Max-Margin Structured Output Regression for Spatio-Temporal Action Localization.,"Du Tran,Junsong Yuan,"
41,Transelliptical Component Analysis.,"Fang Han,Han Liu,"
42,Action-Model Based Multi-agent Plan Recognition.,"Hankz Hankui Zhuo,Qiang Yang,Subbarao Kambhampati,"
43,Visual Recognition using Embedded Feature Selection for Curvature Self-Similarity.,"Angela Eigenstetter,Björn Ommer,"
44,Non-parametric Approximate Dynamic Programming via the Kernel Method.,"Nikhil Bhat,Ciamac C. Moallemi,Vivek F. Farias,"
45,Optimal Regularized Dual Averaging Methods for Stochastic Optimization.,"Xi Chen,Qihang Lin,Javier Peña,"
46,The variational hierarchical EM algorithm for clustering hidden Markov models.,"Emanuele Coviello,Antoni B. Chan,Gert R. G. Lanckriet,"
47,Truncation-free Online Variational Inference for Bayesian Nonparametric Models.,"Chong Wang,David M. Blei,"
48,3D Social Saliency from Head-mounted Cameras.,"Hyun Soo Park,Eakta Jain,Yaser Sheikh,"
49,Context-Sensitive Decision Forests for Object Detection.,"Peter Kontschieder,Samuel Rota Bulò,Antonio Criminisi,Pushmeet Kohli,Marcello Pelillo,Horst Bischof,"
50,Learning Invariant Representations of Molecules for Atomization Energy Prediction.,"Grégoire Montavon,Katja Hansen,Siamac Fazli,Matthias Rupp,Franziska Biegler,Andreas Ziehe,Alexandre Tkatchenko,Anatole von Lilienfeld,Klaus-Robert Müller,"
51,Bandit Algorithms boost Brain Computer Interfaces for motor-task selection of a brain-controlled button.,"Joan Fruitet,Alexandra Carpentier,Rémi Munos,Maureen Clerc,"
52,Multiplicative Forests for Continuous-Time Processes.,"Jeremy C. Weiss,Sriraam Natarajan,David Page,"
53,Patient Risk Stratification for Hospital-Associated C. diff as a Time-Series Classification Task.,"Jenna Wiens,John V. Guttag,Eric Horvitz,"
54,Nyström Method vs Random Fourier Features: A Theoretical and Empirical Comparison.,"Tianbao Yang,Yu-Feng Li,Mehrdad Mahdavi,Rong Jin,Zhi-Hua Zhou,"
55,Multiclass Learning Approaches: A Theoretical Comparison with Implications.,"Amit Daniely,Sivan Sabato,Shai Shalev-Shwartz,"
56,Stochastic Gradient Descent with Only One Projection.,"Mehrdad Mahdavi,Tianbao Yang,Rong Jin,Shenghuo Zhu,Jinfeng Yi,"
57,"""Neuronal spike generation mechanism as an oversampling, noise-shaping A-to-D converter"".","Dmitri B. Chklovskii,Daniel Soudry,"
58,Deep Spatio-Temporal Architectures and Learning for Protein Structure Prediction.,"Pietro Di Lena,Pierre Baldi,Ken Nagata,"
59,Assessing Blinding in Clinical Trials.,"Ognjen Arandjelovic,"
60,Scalable nonconvex inexact proximal splitting.,"Suvrit Sra,"
61,Learning to Discover Social Circles in Ego Networks.,"Julian J. McAuley,Jure Leskovec,"
62,A Conditional Multinomial Mixture Model for Superset Label Learning.,"Li-Ping Liu,Thomas G. Dietterich,"
63,Majorization for CRFs and Latent Likelihoods.,"Tony Jebara,Anna Choromanska,"
64,Ensemble weighted kernel estimators for multivariate entropy estimation.,"Kumar Sricharan,Alfred O. Hero III,"
65,Efficient high dimensional maximum entropy modeling via symmetric partition functions.,"Paul Vernaza,Drew Bagnell,"
66,Discriminatively Trained Sparse Code Gradients for Contour Detection.,"Xiaofeng Ren,Liefeng Bo,"
67,Analyzing 3D Objects in Cluttered Images.,"Mohsen Hejrati,Deva Ramanan,"
68,Nonconvex Penalization Using Laplace Exponents and Concave Conjugates.,"Zhihua Zhang,Bojun Tu,"
69,3D Object Detection and Viewpoint Estimation with a Deformable 3D Cuboid Model.,"Sanja Fidler,Sven J. Dickinson,Raquel Urtasun,"
70,Structured Learning of Gaussian Graphical Models.,"Karthik Mohan,Michael Jae-Yoon Chung,Seungyeop Han,Daniela M. Witten,Su-In Lee,Maryam Fazel,"
71,A Polylog Pivot Steps Simplex Algorithm for Classification.,"Elad Hazan,Zohar Shay Karnin,"
72,Shifting Weights: Adapting Object Detectors from Image to Video.,"Kevin D. Tang,Vignesh Ramanathan,Fei-Fei Li,Daphne Koller,"
73,A Scalable CUR Matrix Decomposition Algorithm: Lower Time Complexity and Tighter Bound.,"Shusen Wang,Zhihua Zhang,"
74,Convolutional-Recursive Deep Learning for 3D Object Classification.,"Richard Socher,Brody Huval,Bharath Putta Bath,Christopher D. Manning,Andrew Y. Ng,"
75,Semi-Supervised Domain Adaptation with Non-Parametric Copulas.,"David López-Paz,José Miguel Hernández-Lobato,Bernhard Schölkopf,"
76,Identification of Recurrent Patterns in the Activation of Brain Networks.,"Firdaus Janoos,Weichang Li,Niranjan A. Subrahmanya,István Ákos Mórocz,William M. Wells III,"
77,Density-Difference Estimation.,"Masashi Sugiyama,Takafumi Kanamori,Taiji Suzuki,Marthinus Christoffel du Plessis,Song Liu,Ichiro Takeuchi,"
78,Variational Inference for Crowdsourcing.,"Qiang Liu,Jian Peng,Alexander T. Ihler,"
79,MCMC for continuous-time discrete-state systems.,"Vinayak A. Rao,Yee Whye Teh,"
80,A P300 BCI for the Masses: Prior Information Enables Instant Unsupervised Spelling.,"Pieter-Jan Kindermans,Hannes Verschore,David Verstraeten,Benjamin Schrauwen,"
81,Learning about Canonical Views from Internet Image Collections.,"Elad Mezuman,Yair Weiss,"
82,Learning High-Density Regions for a Generalized Kolmogorov-Smirnov Test in High-Dimensional Data.,"Assaf Glazer,Michael Lindenbaum,Shaul Markovitch,"
83,Multiresolution Gaussian Processes.,"Emily B. Fox,David B. Dunson,"
84,Localizing 3D cuboids in single-view images.,"Jianxiong Xiao,Bryan C. Russell,Antonio Torralba,"
85,Newton-Like Methods for Sparse Inverse Covariance Estimation.,"Peder A. Olsen,Figen Öztoprak,Jorge Nocedal,Steven J. Rennie,"
86,Learning to Align from Scratch.,"Gary B. Huang,Marwan A. Mattar,Honglak Lee,Erik G. Learned-Miller,"
87,Homeostatic plasticity in Bayesian spiking networks as Expectation Maximization with posterior constraints.,"Stefan Habenschuss,Johannes Bill,Bernhard Nessler,"
88,Clustering Aggregation as Maximum-Weight Independent Set.,"Nan Li,Longin Jan Latecki,"
89,Topology Constraints in Graphical Models.,"Marcelo Fiori,Pablo Musé,Guillermo Sapiro,"
90,Transelliptical Graphical Models.,"Han Liu,Fang Han,Cun-Hui Zhang,"
91,Kernel Latent SVM for Visual Recognition.,"Weilong Yang,Yang Wang,Arash Vahdat,Greg Mori,"
92,Learning Partially Observable Models Using Temporally Abstract Decision Trees.,"Erik Talvitie,"
93,Proximal Newton-type methods for convex optimization.,"Jason D. Lee,Yuekai Sun,Michael A. Saunders,"
94,Regularized Off-Policy TD-Learning.,"Bo Liu,Sridhar Mahadevan,Ji Liu,"
95,Multi-criteria Anomaly Detection using Pareto Depth Analysis.,"Ko-Jen Hsiao,Kevin S. Xu,Jeff Calder,Alfred O. Hero III,"
96,Synchronization can Control Regularization in Neural Systems via Correlated Noise Processes.,"Jake V. Bouvrie,Jean-Jacques E. Slotine,"
97,Calibrated Elastic Regularization in Matrix Completion.,"Tingni Sun,Cun-Hui Zhang,"
98,Predicting Action Content On-Line and in Real Time before Action Onset - an Intracranial Human Study.,"Uri Maoz,Shengxuan Ye,Ian B. Ross,Adam N. Mamelak,Christof Koch,"
99,Searching for objects driven by context.,"Bogdan Alexe,Nicolas Heess,Yee Whye Teh,Vittorio Ferrari,"
100,Timely Object Recognition.,"Sergey Karayev,Tobias Baumgartner,Mario Fritz,Trevor Darrell,"
101,Nonparanormal Belief Propagation (NPNBP).,"Gal Elidan,Cobi Cario,"
102,Deep Representations and Codes for Image Auto-Annotation.,"Ryan Kiros,Csaba Szepesvári,"
103,A Spectral Algorithm for Latent Dirichlet Allocation.,"Anima Anandkumar,Dean P. Foster,Daniel J. Hsu,Sham M. Kakade,Yi-Kai Liu,"
104,Learning Halfspaces with the Zero-One Loss: Time-Accuracy Tradeoffs.,"Aharon Birnbaum,Shai Shalev-Shwartz,"
105,Matrix reconstruction with the local max norm.,"Rina Foygel,Nathan Srebro,Ruslan Salakhutdinov,"
106,Analog readout for optical reservoir computers.,"Anteo Smerieri,François Duport,Yvan Paquot,Benjamin Schrauwen,Marc Haelterman,Serge Massar,"
107,Accuracy at the Top.,"Stephen P. Boyd,Corinna Cortes,Mehryar Mohri,Ana Radovanovic,"
108,Minimizing Sparse High-Order Energies by Submodular Vertex-Cover.,"Andrew Delong,Olga Veksler,Anton Osokin,Yuri Boykov,"
109,Perfect Dimensionality Recovery by Variational Bayesian PCA.,"Shinichi Nakajima,Ryota Tomioka,Masashi Sugiyama,S. Derin Babacan,"
110,Mirror Descent Meets Fixed Share (and feels no regret).,"Nicolò Cesa-Bianchi,Pierre Gaillard,Gábor Lugosi,Gilles Stoltz,"
111,Near-optimal Differentially Private Principal Components.,"Kamalika Chaudhuri,Anand D. Sarwate,Kaushik Sinha,"
112,Random function priors for exchangeable arrays with applications to graphs and relational data.,"James Robert Lloyd,Peter Orbanz,Zoubin Ghahramani,Daniel M. Roy,"
113,Inverse Reinforcement Learning through Structured Classification.,"Edouard Klein,Matthieu Geist,Bilal Piot,Olivier Pietquin,"
114,Augmented-SVM: Automatic space partitioning for combining multiple non-linear dynamics.,"Ashwini Shukla,Aude Billard,"
115,Efficient Bayes-Adaptive Reinforcement Learning using Sample-Based Search.,"Arthur Guez,David Silver,Peter Dayan,"
116,Dimensionality Dependent PAC-Bayes Margin Bound.,"Chi Jin,Liwei Wang,"
117,Latent Graphical Model Selection: Efficient Methods for Locally Tree-like Graphs.,"Animashree Anandkumar,Ragupathyraj Valluvan,"
118,Learning Mixtures of Tree Graphical Models.,"Animashree Anandkumar,Daniel J. Hsu,Furong Huang,Sham M. Kakade,"
119,Hamming Distance Metric Learning.,"Mohammad Norouzi,David J. Fleet,Ruslan Salakhutdinov,"
120,Spiking and saturating dendrites differentially expand single neuron computation capacity.,"Romain Daniel Cazé,Mark D. Humphries,Boris S. Gutkin,"
121,Clustering by Nonnegative Matrix Factorization Using Graph Random Walk.,"Zhirong Yang,Tele Hao,Onur Dikmen,Xi Chen,Erkki Oja,"
122,Delay Compensation with Dynamical Synapses.,"C. C. Alan Fung,K. Y. Michael Wong,Si Wu,"
123,A dynamic excitatory-inhibitory network in a VLSI chip for spiking information reregistration.,"Juan Huo,"
124,ImageNet Classification with Deep Convolutional Neural Networks.,"Alex Krizhevsky,Ilya Sutskever,Geoffrey E. Hinton,"
125,Recognizing Activities by Attribute Dynamics.,"Weixin Li,Nuno Vasconcelos,"
126,Compressive Sensing MRI with Wavelet Tree Sparsity.,"Chen Chen,Junzhou Huang,"
